Thứ tự,Tên công ty,Địa chỉ,Tỉnh,Loại hình,Điện thoại,Email,Mã số thuế,Năm thành lập,Thị trường,Chứng chỉ,Trạng thái,Website,,,,,,,,,,,,,
116,Trung Ngọc - Công Ty Cổ Phần Thương Mại Và Đầu Tư Khoáng Sản Trung Ngọc,"607 Hoàng Hoa Thám, Q. Ba Đình, ",Hà Nội,Khoáng Sản,(024) 37611352,hvtc_2002@yahoo.com.vn,,,,,"Không cam kết về độ chính xác thông tin này,607 Hoàng Hoa Thám, Q. Ba Đình, ,(024) 37611352                                ",https://www.yellowpages.vn/lgs/23503320/trung-ngoc-cong-ty-co-phan-thuong-mai-va-dau-tu-khoang-san-trung-ngoc.html,,,,,,,,,,,,,
117,Công Ty TNHH Đông Phong,"15A Ngô Đức Kế, P. 7, Tp. Vũng Tàu, ",Bà Rịa-Vũng Tàu,Khoáng Sản,(0254) 3732475,dongphongvt@yahoo.com.vn,,,,,"Hơn 2 năm chưa xác minh được,15A Ngô Đức Kế, P. 7, Tp. Vũng Tàu, ,(0254) 3732475                                 ",https://www.yellowpages.vn/lgs/1187695560/cong-ty-tnhh-dong-phong.html,,,,,,,,,,,,,
118,Vôi Thái Hòa - Công Ty TNHH Vôi Thái Hòa,"Tỉnh Đồng Nai, ",Đồng Nai,"Nhà sản xuất, Thương mại",0918.202.139,voithaihoa@gmail.com,314901767,2018,"Toàn quốc, Quốc tế",,"Đã xác minh: 27/7/2022   ,Tỉnh Đồng Nai, ,0918.202.139                            ",http://voithaihoa.com,,,,,,,,,,,,,
119,Công Ty TNHH Khai Thác Và Chế Biến Khoáng Sản Linh Vũ Trân,"Thôn 1, X. Phong Phú, H. Tuy Phong, ",Bình Thuận,Nhà sản xuất,(0252) 3976797,linhvutranbentonite@gmail.com,3400399458,2013,Toàn quốc,,"Đã xác minh: 23/8/2019   ,Thôn 1, X. Phong Phú, H. Tuy Phong, ,(0252) 3976797                                 ",https://www.yellowpages.vn/lgs/1187780181/cong-ty-tnhh-khai-thac-va-che-bien-khoang-san-linh-vu-tran.html,,,,,,,,,,,,,
120,Bảo Linh - Công Ty Cổ Phần Vận Tải & Thương Mại Quốc Tế Bảo Linh,"356 Đà Nẵng, Q. Ngô Quyền, ",Tp. Hải Phòng,Khoáng Sản,(0225) 3825343,info@baolinhjsc.com.vn,,,,,"Đã xác minh: 22/8/2015   ,356 Đà Nẵng, Q. Ngô Quyền, ,(0225) 3825343                                 ",http://www.baolinhjsc.com.vn,,,,,,,,,,,,,
121,Đông Thành - Công Ty TNHH Đông Thành,"80 Đỗ Đăng Tuyển,P. Tân Thạnh, Tp. Tam Kỳ, ",Quảng Nam,Khoáng Sản,(0235) 2240648,,,,,,"Không cam kết về độ chính xác thông tin này,80 Đỗ Đăng Tuyển,P. Tân Thạnh, Tp. Tam Kỳ, ,(0235) 2240648                                 ",https://www.yellowpages.vn/lgs/1138041/dong-thanh-cong-ty-tnhh-dong-thanh.html,,,,,,,,,,,,,
122,Thiết Sơn - Công Ty Cổ Phần Tư Vấn Xây Dựng Thiết Sơn,"59 Ông ích Khiêm, Q. Hải Châu, ",Tp. Đà Nẵng,Khoáng Sản,(0236) 3519032,,,,,,"Không cam kết về độ chính xác thông tin này,59 Ông ích Khiêm, Q. Hải Châu, ,(0236) 3519032                                 ",http://www.thietson.com.vn,,,,,,,,,,,,,
123,Bột Đá á Châu - Công Ty Cổ Phần Khoáng Sản á Châu,"Lô 32, Khu C, KCN Nam Cấm, H. Nghi Lộc, ",Nghệ An,Nhà sản xuất,(0238) 3791777,amc@amcvina.vn,2900859599,2007,"Toàn quốc, Quốc tế",ISO 9001:2015,"Đảm bảo chính xác,Lô 32, Khu C, KCN Nam Cấm, H. Nghi Lộc, ,(0238) 3791777                                 , Lô 32, Khu C, KCN Nam Cấm, H. Nghi Lộc, Nghệ An,",http://amcvina.vn,,,,,,,,,,,,,
124,Công Ty Cổ Phần Trung Đức,"Xã Nghi Khánh, H. Nghi Lộc, ",Nghệ An,Khoáng sản,(0238) 3945230,ctytrungducnk@yahoo.com,,,,,"Không cam kết về độ chính xác thông tin này,Xã Nghi Khánh, H. Nghi Lộc, ,(0238) 3945230                                 ",http://trungducjsc.net,,,,,,,,,,,,,
125,Xí Nghiệp Khai Thác Quặng Sắt Na Lương,"Xã Xuân Lương, H. Yên Thế, ",Bắc Giang,Khoáng Sản,(0204) 3830123,,,,,,"Không cam kết về độ chính xác thông tin này,Xã Xuân Lương, H. Yên Thế, ,(0204) 3830123                                 ",http://http://khoangsanbg.com.vn,,,,,,,,,,,,,
126,Bảo Linh - Công Ty Cổ Phần Vận Tải & Thương Mại Quốc Tế Bảo Linh,"19 Ngõ 125,Trung Kính, Q. Cầu Giấy, ",Hà Nội,Khoáng Sản,(024) 37849573,baolinhjschn@vnn.vn,,,,,"Không cam kết về độ chính xác thông tin này,19 Ngõ 125,Trung Kính, Q. Cầu Giấy, ,(024) 37849573                                ",http://www.baolinhjsc.com,,,,,,,,,,,,,
127,Hoàng Hạc - Công Ty TNHH Đầu Tư Kinh Doanh Bất Động Sản & Dịch Vụ Thương Mại Hoàng Hạc,"K64/12 Lê Đình Lý, P. Thạc Gián, Q. Thanh Khê, ",Tp. Đà Nẵng,Khoáng Sản,(0236) 3652029,,,,,,"Không cam kết về độ chính xác thông tin này,K64/12 Lê Đình Lý, P. Thạc Gián, Q. Thanh Khê, ,(0236) 3652029                                 ",https://www.yellowpages.vn/lgs/1047843/hoang-hac-cong-ty-tnhh-dau-tu-kinh-doanh-bat-dong-san---dich-vu-thuong-mai-hoang-hac.html,,,,,,,,,,,,,
128,Đại Phúc - Công Ty TNHH Đại Phúc,"Thôn Tân An, X. Đại Lãnh,H. Đại Lộc, ",Quảng Nam,Khoáng Sản,(0235) 3774999,,,,,,"Không cam kết về độ chính xác thông tin này,Thôn Tân An, X. Đại Lãnh,H. Đại Lộc, ,(0235) 3774999                                 ",https://www.yellowpages.vn/lgs/1137705/dai-phuc-cong-ty-tnhh-dai-phuc.html,,,,,,,,,,,,,
129,Tổng Công Ty Đầu Tư Phát Triển Xây Dựng (DIC),"265 Lê Hồng Phong, P. 8, Tp. Vũng Tàu, ",Bà Rịa-Vũng Tàu,Khoáng Sản,(0254) 3859248,thientuandic@hcm.vnn.vn,,,,,"Hơn 2 năm chưa xác minh được,265 Lê Hồng Phong, P. 8, Tp. Vũng Tàu, ,(0254) 3859248                                 ",http://www.dicgroup.com.vn,,,,,,,,,,,,,
130,Chi Nhánh Công Ty Cổ Phần Khoáng Sản Đắc Lắc,"72Bis Gò Dưa, P. Tam Bình, Q. Thủ Đức, ",Tp. Hồ Chí Minh (TPHCM),Khoáng Sản,(028) 37290222,,,,,,"Hơn 2 năm chưa xác minh được,72Bis Gò Dưa, P. Tam Bình, Q. Thủ Đức, ,(028) 37290222                                ",https://www.yellowpages.vn/lgs/1037406/chi-nhanh-cong-ty-co-phan-khoang-san-dac-lac.html,,,,,,,,,,,,,
131,Công Ty CP TM Và Khai Thác Khoáng Sản Dương Hiếu,"Tầng 2, Toà Nhà Phát Hành Sách, Số Nhà 65, Đường Hoàng Văn Thụ, P. Phan Đình Phùng, TP. Thái Nguyên, ",Thái Nguyên,"Nhà sản xuất, Thương mại",(0208) 3832410,info@duonghieu.com.vn,4600341471,2003,"Toàn quốc, Nhập khẩu",,"Đã xác minh: 5/5/2022    ,Tầng 2, Toà Nhà Phát Hành Sách, Số Nhà 65, Đường Hoàng Văn Thụ, P. Phan Đình Phùng, TP. Thái Nguyên, ,(0208) 3832410                                 ,: Số 59, Đường Võ Chí Công, Tổ 14, P. Nghĩa Đô, Q. Cầu Giấy, Hà Nội",http://duonghieu.com.vn,,,,,,,,,,,,,
132,Công Ty TNHH Thương Mại Và Dịch Vụ Nguyên Liên,"Số 392/1, Đờng Bắc Kạn, Tổ 8, P. Hoàng Văn Thụ, TP. Thái Nguyên, ",Thái Nguyên,Thương mại và dịch vụ,(0208) 6286886,ctytnhhmtvnguyenlien@gmail.com,4601277405,1991,Toàn quốc,,"Đã xác minh: 4/8/2020    ,Số 392/1, Đờng Bắc Kạn, Tổ 8, P. Hoàng Văn Thụ, TP. Thái Nguyên, ,(0208) 6286886                                 ",https://www.yellowpages.vn/lgs/1187740611/cong-ty-tnhh-thuong-mai-va-dich-vu-nguyen-lien.html,,,,,,,,,,,,,
133,Công Ty TNHH Sản Xuất Thương Mại Và Dịch Vụ Hoa Xinh,"B2.01- 3A, Chung Cư Hoàng Anh An Tiến, P. Phước Kiển, H. Nhà Bè, ",Tp. Hồ Chí Minh (TPHCM),Khoáng Sản,(028) 22443636,info@hoaxinh.vn,304995131,2007,,,"Đã xác minh: 7/1/2022    ,B2.01- 3A, Chung Cư Hoàng Anh An Tiến, P. Phước Kiển, H. Nhà Bè, ,(028) 22443636                                ,Trụ sở chính: Số 68 Nguyễn Huệ, P. Bến Nghé, Q. 1, Tp. HCM",http://hoaxinh.vn,,,,,,,,,,,,,
134,Linh Thành - Công Ty Cổ Phần Tập Đoàn Linh Thành,"55 Cộng Hòa, P. 4, Q. Tân Bình, ",Tp. Hồ Chí Minh (TPHCM),Nhà sản xuất,(028) 38117839,infor@linhthanhgroup,,,Toàn quốc,,"Đã xác minh: 7/2/2014    ,55 Cộng Hòa, P. 4, Q. Tân Bình, ,(028) 38117839                                ",http://www.linhthanhgroup.com,,,,,,,,,,,,,
135,Công Ty Cổ Phần Quản Lý & Xây Dựng Đường Bộ Khánh Hòa,"Số 01 Phan Bội Châu, P. Hương Xuân, Tp. Nha Trang, ",Khánh Hòa,Khoáng Sản,(0258) 3822256,,,,,,"Không cam kết về độ chính xác thông tin này,Số 01 Phan Bội Châu, P. Hương Xuân, Tp. Nha Trang, ,(0258) 3822256                                 ",https://www.yellowpages.vn/lgs/704637/cong-ty-co-phan-quan-ly---xay-dung-duong-bo-khanh-hoa.html,,,,,,,,,,,,,
136,Công Ty CP Gạch Xây Dựng Và Thương Mại Phú Sỹ Hương,"151, Khai Quang, Vĩnh Yên, ",Vĩnh Phúc,Khoáng Sản,(0211) 3615555,phusyhuong@phusyhuong.com,,,,,"Không cam kết về độ chính xác thông tin này,151, Khai Quang, Vĩnh Yên, ,(0211) 3615555                                 ",http://www.phusyhuong.com,,,,,,,,,,,,,
137,Vôi Càng Long - Công Ty TNHH Một Thành Viên Vôi Càng Long Long An,"52A Bến Phú Định, P. 16, Q. 8, ",Tp. Hồ Chí Minh (TPHCM),Nhà sản xuất,"(028) 22441111, 38765431, 0909607080          ",voicanglong@gmail.com,1101769234,2014,Toàn quốc,,"Đảm bảo chính xác,52A Bến Phú Định, P. 16, Q. 8, ,(028) 22441111, 38765431, 0909607080          , Ấp Bà Thoại, X. Tân Lân, H. Cần Đước, Tỉnh Long An (Gần Kênh Nước Mặn)",http://voicanglong.com,,,,,,,,,,,,,
138,Liên Hiệp Khoa Học Địa Chất & Du Lịch,"Phòng 407, C3 P. Thanh Xuân Bắc, Q. Thanh Xuân, ",Hà Nội,Khoáng Sản,(024) 38541747,,,,,,"Không cam kết về độ chính xác thông tin này,Phòng 407, C3 P. Thanh Xuân Bắc, Q. Thanh Xuân, ,(024) 38541747                                ",https://www.yellowpages.vn/lgs/730113/lien-hiep-khoa-hoc-dia-chat---du-lich.html,,,,,,,,,,,,,
139,Công Ty TNHH Một Thành Viên Si Líc Miền Trung,"42 Nguyễn Tư, Quy Nhơn, ",Bình Định,Khoáng Sản,(0256) 3520422,silicmientrung@minexco.com.vn,,,,,"Hơn 2 năm chưa xác minh được,42 Nguyễn Tư, Quy Nhơn, ,(0256) 3520422                                 ",http://silimeco.com.vn,,,,,,,,,,,,,
140,Công Ty Cổ Phần Khoáng Sản Tân Thủy,"Số 33, Phố Nguyễn Quốc Hiệu, P. Trần Hưng Đạo, TP. Phủ Lý, ",Hà Nam,Nhà sản xuất,931118428,info@tanthuy.com,700756666,2015,"Toàn quốc, Quốc tế","
ISO 9001:2008","Đã xác minh: 1/11/2022   ,Số 33, Phố Nguyễn Quốc Hiệu, P. Trần Hưng Đạo, TP. Phủ Lý, ,0931118428                              ,",http://tanthuy.com,,,,,,,,,,,,,
141,Công Ty CP Xuất Nhập Khẩu Petrolimex,"54-56 Bùi Hữu Nghĩa, P. 5, Q. 5, ",Tp. Hồ Chí Minh (TPHCM),"Nhà sản xuất, Thương mại",(028) 38383400,pitco@pitco.com.vn,301776741,1999,"Toàn quốc, Quốc tế",,"Đã xác minh: 7/12/2022   ,54-56 Bùi Hữu Nghĩa, P. 5, Q. 5, ,(028) 38383400                                ",http://pitco.com.vn,,,,,,,,,,,,,
142,Công ty TNHH Ogbonna Eze Salt,"KLM 42 EPE Express Way, Abjo, ",Lagos,Nhà sản xuất,(+234) 8061169545,info.ogbonnaeze@gmail.com,21387699,2021,Việt Nam,,"Đã xác minh: 12/10/2021  ,KLM 42 EPE Express Way, Abjo, ,(+234) 8061169545                              ",http://ogbonnaezesalt.com,,,,,,,,,,,,,
143,Công Ty TNHH Thế Lực,"9/5 Nguyễn Quy Yêm, P. An Lạc, Q. Bình Tân, ",Tp. Hồ Chí Minh (TPHCM),"Nhà sản xuất, Thương mại",(028) 38768317,intheluc@gmail.com,,,Toàn quốc,,"Đã xác minh: 31/10/2018  ,9/5 Nguyễn Quy Yêm, P. An Lạc, Q. Bình Tân, ,(028) 38768317                                ",https://www.yellowpages.vn/lgs/1187734275/cong-ty-tnhh-the-luc.html,,,,,,,,,,,,,
144,Thanh Minh Ngọc - Công Ty TNHH Thanh Minh Ngọc,"Khối 5, TT. Khâm Đức, H. Phước Sơn, ",Quảng Nam,Khoáng Sản,(0235) 3881337,,,,,,"Không cam kết về độ chính xác thông tin này,Khối 5, TT. Khâm Đức, H. Phước Sơn, ,(0235) 3881337                                 ",https://www.yellowpages.vn/lgs/1138083/thanh-minh-ngoc-cong-ty-tnhh-thanh-minh-ngoc.html,,,,,,,,,,,,,
145,Công Ty Cổ Phần Khoáng Sản Công Nghệ Du Lịch Sài Gòn - SG CORPORATION,"108/2/5 Cộng Hòa, P. 4, Q.Tân Bình, ",Tp. Hồ Chí Minh (TPHCM),Khoáng Sản,(028) 38110280,ngockipsg@yahoo.com,,,,,"Không cam kết về độ chính xác thông tin này,108/2/5 Cộng Hòa, P. 4, Q.Tân Bình, ,(028) 38110280                                ",https://www.yellowpages.vn/lgs/1074741/cong-ty-co-phan-khoang-san-cong-nghe-du-lich-sai-gon-sg-corporation.html,,,,,,,,,,,,,
146,Doanh Nghiệp Tư Nhân Bảo Việt,"40 Đường 400,ấp Cây Dầu, P. Tân Phú, Q. 9, ",Tp. Hồ Chí Minh (TPHCM),Khoáng Sản,(028) 38967118,,,,,,"Không cam kết về độ chính xác thông tin này,40 Đường 400,ấp Cây Dầu, P. Tân Phú, Q. 9, ,(028) 38967118                                ",https://www.yellowpages.vn/lgs/1013295/doanh-nghiep-tu-nhan-bao-viet.html,,,,,,,,,,,,,
147,Thành An - Công Ty TNHH Khoáng Sản Thành An,"01 P. Nguyễn Văn Cừ,Chương Dương, Tp. Quy Nhơn, ",Bình Định,Khoáng Sản,(0256) 3646053,,,,,,"Không cam kết về độ chính xác thông tin này,01 P. Nguyễn Văn Cừ,Chương Dương, Tp. Quy Nhơn, ,(0256) 3646053                                 ",https://www.yellowpages.vn/lgs/1173054/thanh-an-cong-ty-tnhh-khoang-san-thanh-an.html,,,,,,,,,,,,,
148,Bột Đá Sơn Hà - Công Ty TNHH Đầu Tư Phát Triển Quốc Tế Sơn Hà,"Vĩnh Quỳnh, H. Thanh Trì, ",Hà Nội,Nhà sản xuất,"Hotline: 0936 162 698, 0934 689 598     ",SHCgroup.vn@gmail.com,106124693,,"Toàn quốc, Quốc tế",,"Đảm bảo chính xác,Vĩnh Quỳnh, H. Thanh Trì, ,Hotline: 0936 162 698, 0934 689 598     , Số 1 Ngõ 75, Trần Quang Diệu, Đống Đa, Hà Nội",http://shcgroup.vn,,,,,,,,,,,,,
149,Kim Vị - Công Ty Cổ Phần Khai Thác Khoáng sản Kim Vị,"21A #ường Số 1,ấp Giãn Dân, P. Long Thạnh Mỹ, Q. 9, ",Tp. Hồ Chí Minh (TPHCM),Khoáng Sản,(028) 37251917,,,,,,"Không cam kết về độ chính xác thông tin này,21A #ường Số 1,ấp Giãn Dân, P. Long Thạnh Mỹ, Q. 9, ,(028) 37251917                                ",https://www.yellowpages.vn/lgs/3689391/kim-vi-cong-ty-co-phan-khai-thac-khoang-san-kim-vi.html,,,,,,,,,,,,,
150,Tâm Đức - Công Ty TNHH Tâm Đức,"241 P. An Sơn,Trần Cao Vân, Tp. Tam Kỳ, ",Quảng Nam,Khoáng Sản,(0235) 3859210,,,,,,"Không cam kết về độ chính xác thông tin này,241 P. An Sơn,Trần Cao Vân, Tp. Tam Kỳ, ,(0235) 3859210                                 ",https://www.yellowpages.vn/lgs/1137723/tam-duc-cong-ty-tnhh-tam-duc.html,,,,,,,,,,,,,
151,Hồng Huy - Công Ty TNHH Hồng Huy,"Khối 7, P. An Sơn,Tp. Tam Kỳ, ",Quảng Nam,Khoáng Sản,(0235) 3824883,,,,,,"Không cam kết về độ chính xác thông tin này,Khối 7, P. An Sơn,Tp. Tam Kỳ, ,(0235) 3824883                                 ",https://www.yellowpages.vn/lgs/1138062/hong-huy-cong-ty-tnhh-hong-huy.html,,,,,,,,,,,,,
152,Công Ty Cổ Phần Đầu Tư V.E.D.A,"Số 86, Đường Nguyễn Đức Thuận, Tp.Thủ Dầu Một, ",Bình Dương,"Nhà sản xuất, Thi công",(0274) 3826411,Veda@vedaijsc.com,3702215097,2013,Miền Nam,"
ISO 9001:2000,","Không cam kết về độ chính xác thông tin này,Số 86, Đường Nguyễn Đức Thuận, Tp.Thủ Dầu Một, ,(0274) 3826411                                 ",http://Vedaijsc.com,,,,,,,,,,,,,
153,Công Ty Cổ Phần Thương Mại & Hợp Tác Đầu Tư Việt Nam,"92 Phố Đốc Ngữ, Kim Mã, Q. Ba Đình, ",Hà Nội,Khoáng Sản,(024) 37262034,vtic@vietel.com.vn,,,,,"Không cam kết về độ chính xác thông tin này,92 Phố Đốc Ngữ, Kim Mã, Q. Ba Đình, ,(024) 37262034                                ",https://www.yellowpages.vn/lgs/1293069/cong-ty-co-phan-thuong-mai---hop-tac-dau-tu-viet-nam.html,,,,,,,,,,,,,
154,Công Ty TNHH Miền Duyên Hải,"Tầng 23, Tòa Nhà A&B, 76A Lê Lai, P. Bến Thành, Q. 1, ",Tp. Hồ Chí Minh (TPHCM),"Nhà sản xuất, Thương mại",(028) 22450996,coastal.pigment@gmail.com,303778977,2005,"Toàn quốc, Quốc tế",,"Đã xác minh: 6/9/2019    ,Tầng 23, Tòa Nhà A&B, 76A Lê Lai, P. Bến Thành, Q. 1, ,(028) 22450996                                ",http://www.botmau.net,,,,,,,,,,,,,
155,Khoáng Sản Sơn Nam - Công Ty TNHH Khoáng Sản Sơn Nam,"666/20 Huỳnh Tấn Phát, P. Phú Thuận, Q. 7, ",Tp. Hồ Chí Minh (TPHCM),"Nhà sản xuất, Thương mại",909133211,vunguyen838383@gmail.com,31331902,2015,"Toàn quốc, Quốc tế",,"Đã xác minh: 20/7/2021   ,666/20 Huỳnh Tấn Phát, P. Phú Thuận, Q. 7, ,0909133211                              ",http://khoangsanmiennam.com,,,,,,,,,,,,,
156,Công Ty TNHH MRB Việt Nam,"Tầng 3, Shop House B5-12B Vinhomes Gardenia, Đường Hàm Nghi, P. Cầu Diễn, Q. Nam Từ Liêm, ",Hà Nội,Khoáng Sản,(024) 62920216,jason@mrb.vn,106259468,2013,"Toàn quốc, Quốc tế","
ISO 9001:2008","Đã xác minh: 12/5/2021   ,Tầng 3, Shop House B5-12B Vinhomes Gardenia, Đường Hàm Nghi, P. Cầu Diễn, Q. Nam Từ Liêm, ,(024) 62920216                                ,: H. Văn Yên, Yên Bái.",http://mrb.vn,,,,,,,,,,,,,
157,Henan Hongxing Mining Machinery Co.Ltd,"Số 8, Đường Tanxiang, H. Zhengzhou, ",Trịnh Châu,Nhà sản xuất,+86 371 67833161,customer@hxjq.com,67833161,1981,"Toàn quốc, Quốc tế","ISO 9001:2000, CE,GOST","Đã xác minh: 24/7/2019   ,Số 8, Đường Tanxiang, H. Zhengzhou, ,+86 371 67833161                        ",http://china-sand-maker.com,,,,,,,,,,,,,
158,Tiến Dũng - Công Ty TNHH Thương Mại Dịch Vụ Khai Thác Chế Biến Khoáng Sản Tiến Dũng,"8/25C Thống Nhất, P. 16, Q. Gò Vấp, ",Tp. Hồ Chí Minh (TPHCM),Khoáng Sản,(028) 38947071,,,,,,"Không cam kết về độ chính xác thông tin này,8/25C Thống Nhất, P. 16, Q. Gò Vấp, ,(028) 38947071                                ",https://www.yellowpages.vn/lgs/1103940/tien-dung-cong-ty-tnhh-thuong-mai-dich-vu-khai-thac-che-bien-khoang-san-tien-dung.html,,,,,,,,,,,,,
159,Xí Nghiệp Xây Dựng & Thương Mại Quảng Ninh,"55A Lê Thánh Tông, Tp. Hạ Long, ",Quảng Ninh,Khoáng Sản,(0203) 3629284,,,,,,"Không cam kết về độ chính xác thông tin này,55A Lê Thánh Tông, Tp. Hạ Long, ,(0203) 3629284                                 ",https://www.yellowpages.vn/lgs/1439574/xi-nghiep-xay-dung---thuong-mai-quang-ninh.html,,,,,,,,,,,,,
160,Công Ty TNHH Xây Dựng Thương Mại Cầu Đường Chơn Thanh,"180 Nguyễn Du, Khu Phố Phú Hưng, P. Phú Thịnh, TX. Bình Long, ",Bình Phước,Khoáng Sản,(0271) 666657,lethanhcan65@yahoo.com.vn,,,,,"Không cam kết về độ chính xác thông tin này,180 Nguyễn Du, Khu Phố Phú Hưng, P. Phú Thịnh, TX. Bình Long, ,(0271) 666657                                  ",https://www.yellowpages.vn/lgs/1187678910/cong-ty-tnhh-xay-dung-thuong-mai-cau-duong-chon-thanh.html,,,,,,,,,,,,,
161,Tân Uyên - Công Ty Cổ Phần Khoáng Sản Xây Dựng Tân Uyên XiCo,"ấp Tân Lợi, Xã Đất Cuốc,H. Bắc Tân Uyên, ",Bình Dương,Khoáng Sản,(0274) 3656318,ktcbkstanuyen@hcm.vnn.vn,,,,,"Đã xác minh: 22/8/2015   ,ấp Tân Lợi, Xã Đất Cuốc,H. Bắc Tân Uyên, ,(0274) 3656318                                 ",https://www.yellowpages.vn/lgs/990165/tan-uyen-cong-ty-co-phan-khoang-san-xay-dung-tan-uyen-xico.html,,,,,,,,,,,,,
162,Công Ty Cổ Phần SX & TM Sơn Thanh Phong,"Tân Ninh, Triệu Sơn, ",Thanh Hóa,"Nhà sản xuất, Thương mại dịch vụ",(0237) 3563295,Sonthanhphong1111@gmail.com,2801139021,2008,Toàn quốc,,"Đã xác minh: 5/10/2015   ,Tân Ninh, Triệu Sơn, ,(0237) 3563295                                 ",https://www.yellowpages.vn/lgs/1187751204/cong-ty-co-phan-sx---tm-son-thanh-phong.html,,,,,,,,,,,,,
163,Công Ty Cổ Phần Đầu Tư Thương Mại & Vận Tải Thành Trang,"31 Chương Dương, Hạ Lý, Q. Hồng Bàng, ",Tp. Hải Phòng,Khoáng Sản,(0225) 3759399,thanhtrang@thanhtranghp.vn,,,,,"Đã xác minh: 25/8/2015   ,31 Chương Dương, Hạ Lý, Q. Hồng Bàng, ,(0225) 3759399                                 ",http://thanhtranghp.vn,,,,,,,,,,,,,
164,Song Trần - Công Ty TNHH Song Trần,"242 Nguyễn Lương Bằng, P. Hòa Khánh Bắc, Q. Liên Chiểu, ",Tp. Đà Nẵng,Khoáng Sản,(0236) 3732336,,,,,,"Không cam kết về độ chính xác thông tin này,242 Nguyễn Lương Bằng, P. Hòa Khánh Bắc, Q. Liên Chiểu, ,(0236) 3732336                                 ",https://www.yellowpages.vn/lgs/1147110/song-tran-cong-ty-tnhh-song-tran.html,,,,,,,,,,,,,
165,Cao Bằng - Công Ty Cổ Phần Khoáng Sản & Luyện Kim Cao Bằng,"Kim Đồng, X. Hợp Giang, TX. Cao Bằng, ",Cao Bằng,Khoáng Sản,(0206) 3853102,,,,,,"Không cam kết về độ chính xác thông tin này,Kim Đồng, X. Hợp Giang, TX. Cao Bằng, ,(0206) 3853102                                 ",https://www.yellowpages.vn/lgs/728091/cao-bang-cong-ty-co-phan-khoang-san---luyen-kim-cao-bang.html,,,,,,,,,,,,,
166,Đá TBT - Công Ty Cổ Phần Đầu Tư Khoáng Sản TBT,"Số 34 Cù Chính Lan, Q. Thanh Xuân, ",Hà Nội,"Nhà sản xuất, Thương mại","0965 396 718, 0818 482 789              ",tranthieu.tbt@gmail.com,109216053,,Toàn quốc,,"Đảm bảo chính xác,Số 34 Cù Chính Lan, Q. Thanh Xuân, ,0965 396 718, 0818 482 789              ,",http://vietnamstones.vn,,,,,,,,,,,,,
167,Than Đá Minh Tuân - Công Ty TNHH XD Và Đầu Tư Thương Mại Minh Tuân,"Số 11b Thôn Chúc Lý, X. Ngọc Hòa, H. Chương Mỹ, ",Hà Nội,Nhà sản xuất,976820219,minhtuanxddt@gmail.com,105945270,2012,Toàn quốc,,"Đảm bảo chính xác,Số 11b Thôn Chúc Lý, X. Ngọc Hòa, H. Chương Mỹ, ,0976820219                              ,",http://thankhoangsan.com,,,,,,,,,,,,,
168,Miền Đông - Công Ty Cổ Phần Miền Đông,"941 Phan Văn Trị, P. 7, Q. Gò Vấp, ",Tp. Hồ Chí Minh (TPHCM),Khoáng Sản,(028) 39894474,mido.corporation@viettel.vn,,,,,"Không cam kết về độ chính xác thông tin này,941 Phan Văn Trị, P. 7, Q. Gò Vấp, ,(028) 39894474                                ",https://www.yellowpages.vn/lgs/1053855/mien-dong-cong-ty-co-phan-mien-dong.html,,,,,,,,,,,,,
169,Tổng Công Ty Khoáng Sản Và Thương Mại Hà Tĩnh - CTCP,"Số 02, Đường Vũ Quang, Tp. Hà Tĩnh, ",Hà Tĩnh,Thương mại và dịch vụ,(0239) 3855603,,3000437356,2008,Toàn quốc,,"Không cam kết về độ chính xác thông tin này,Số 02, Đường Vũ Quang, Tp. Hà Tĩnh, ,(0239) 3855603                                 ",http://mitracoonline.com,,,,,,,,,,,,,
170,Ferro Crome Nông Cống - Công Ty TNHH Ferro Crome Nông Cống,"Q. Nông Cống, ",Thanh Hóa,Khoáng Sản,(0237) 3756292,,,,,,"Không cam kết về độ chính xác thông tin này,Q. Nông Cống, ,(0237) 3756292                                 ",https://www.yellowpages.vn/lgs/1480398/ferro-crome-nong-cong-cong-ty-tnhh-ferro-crome-nong-cong.html,,,,,,,,,,,,,
171,Công Ty CP Tập Đoàn Hoành Sơn,"TDP Thuận Minh, P. Đức Thuận, TX. Hồng Lĩnh, ",Hà Tĩnh,Thương mại và dịch vụ,(0239) 3575555,vanthuhoanhson@gmail.com,3000244065,2001,Toàn quốc,,"Đã xác minh: 1/4/2022    ,TDP Thuận Minh, P. Đức Thuận, TX. Hồng Lĩnh, ,(0239) 3575555                                 , P.304-306, Toà Nhà Thành Đạt 3, Số 4 Lê Thánh Tông, P. Máy Tơ, Q. Ngô Quyền, TP. Hải Phòng",http://hoanhsongroup.net,,,,,,,,,,,,,
172,Công Ty TNHH Một Thành Viên Apatit Việt Nam,"Đại Lộ Trần Hưng Đạo, Tổ 19, P. Bắc Cường, TP. Lào Cai, ",Lào Cai,Nhà sản xuất,(0214) 3852275,vinaapaco@vinaapaco.com,5300100276,2004,Toàn quốc,,"Đã xác minh: 14/9/2019   ,Đại Lộ Trần Hưng Đạo, Tổ 19, P. Bắc Cường, TP. Lào Cai, ,(0214) 3852275                                 ",http://vinaapaco.com,,,,,,,,,,,,,
